event_name,event_hrefs,athlete_href,athlete_sb,athlete_pb,first_name,last_name,birthdate,country
Men's Shot Put,https://eugene.diamondleague.com/program-results-eugene/?eventId=8920797e-5521-44f0-9895-2b8e0665762a&eventStart=2019-06-30T14%3A01%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=5f745b6ea2fd80fc2df950449e29142d,https://eugene.diamondleague.com/athletes/14377465.html,21.83,22.00,Darlan,ROMANI,09/04/1991,Brazil
Women's 3000m,https://eugene.diamondleague.com/program-results-eugene/?eventId=0eac18db-536e-47a8-b377-569ee0ac09b5&eventStart=2019-06-30T14%3A05%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=0a1bb0331dc5cdee36f255e5a909f754,https://eugene.diamondleague.com/athletes/14489606.html,,8:27.50,Sifan,HASSAN,1993,Netherlands
1500m Women,https://eugene.diamondleague.com/program-results-eugene/?eventId=91d0b332-c710-407f-8d2d-43d807a6660f&eventStart=2019-06-30T14%3A31%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=61fe6ebf258bd52fd015338f6145ca6b,https://eugene.diamondleague.com/athletes/14327446.html,,4:03.59,Kate,GRACE,24/10/1988,United States
1 Mile Men,https://eugene.diamondleague.com/program-results-eugene/?eventId=b432fc9b-21ba-4da9-83fc-22e0d2759c35&eventStart=2019-06-30T14%3A51%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=d761e7ca991594da561a98e6791a1e1c,https://eugene.diamondleague.com/athletes/14458705.html,,3:53.23,Filip,INGEBRIGTSEN,20/04/1993,Norway
Men's Pole Vault,https://eugene.diamondleague.com/program-results-eugene/?eventId=c700459c-f559-488f-a766-128570f30f4f&eventStart=2019-06-30T12%3A43%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=ef32501303dcb117daec34708fc1ed6b,https://eugene.diamondleague.com/athletes/14565215.html,,6.00,Timur,MORGUNOV,12/10/1996,Authorised Neutral Athlete
Women's Shot Put,https://eugene.diamondleague.com/program-results-eugene/?eventId=093d68c3-8a54-4c9d-958a-a403fdcdf3d2&eventStart=2019-06-30T12%3A57%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=a529dc7eb1ddc4eb97986373c5432f37,https://eugene.diamondleague.com/athletes/14615321.html,,19.76,Raven,SAUNDERS,15/05/1996,United States
400m Hurdles Men,https://eugene.diamondleague.com/program-results-eugene/?eventId=a9701d16-c36e-4020-9bb3-87bf39071022&eventStart=2019-06-30T13%3A03%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=f1ad5ce2597430faea5cd4a133de7d8e,https://eugene.diamondleague.com/athletes/14752208.html,47.51,46.98,Abderrahman,SAMBA,05/09/1995,Qatar
Women's High Jump,https://eugene.diamondleague.com/program-results-eugene/?eventId=b73e0eb1-e86d-4931-b9ce-a974ad596212&eventStart=2019-06-30T13%3A08%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=63de9b666260d0549886f11f08a1c722,https://eugene.diamondleague.com/athletes/14290340.html,,1.98,AirinÃ©,PALÅ YTÃ,13/07/1992,Lithuania
Women's 3000m Steeplechase,https://eugene.diamondleague.com/program-results-eugene/?eventId=63fa7fea-e8c6-47b2-8083-8477ab65c9f6&eventStart=2019-06-30T13%3A11%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=a21bd3a93df24138df88c9ac84993e30,https://eugene.diamondleague.com/athletes/14530633.html,,9:10.71,Daisy,JEPKEMEI,13/02/1996,Kenya
Men's 110m Hurdles,https://eugene.diamondleague.com/program-results-eugene/?eventId=e87d1c18-303e-4db0-8d13-240d6830a244&eventStart=2019-06-30T13%3A56%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=7b653be65ac37bc6d1d104c4efa997a5,https://eugene.diamondleague.com/athletes/14171016.html,13.21,13.21,Wenjun,XIE,11/07/1990,PR of China
Men's Shot Put,https://eugene.diamondleague.com/program-results-eugene/?eventId=8920797e-5521-44f0-9895-2b8e0665762a&eventStart=2019-06-30T14%3A01%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=5f745b6ea2fd80fc2df950449e29142d,https://eugene.diamondleague.com/athletes/14379859.html,,22.01,TomÃ¡Å¡,STANÄK,13/06/1991,Czech Republic
Women's 3000m,https://eugene.diamondleague.com/program-results-eugene/?eventId=0eac18db-536e-47a8-b377-569ee0ac09b5&eventStart=2019-06-30T14%3A05%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=0a1bb0331dc5cdee36f255e5a909f754,https://eugene.diamondleague.com/athletes/14423904.html,8:29.89,8:29.05,Caroline,Chepkoech,26/05/1994,Kenya
1500m Women,https://eugene.diamondleague.com/program-results-eugene/?eventId=91d0b332-c710-407f-8d2d-43d807a6660f&eventStart=2019-06-30T14%3A31%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=61fe6ebf258bd52fd015338f6145ca6b,https://eugene.diamondleague.com/athletes/14806061.html,,4:20.36,Lemlem,HAILU,21/05/2001,Ethiopia
1 Mile Men,https://eugene.diamondleague.com/program-results-eugene/?eventId=b432fc9b-21ba-4da9-83fc-22e0d2759c35&eventStart=2019-06-30T14%3A51%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=d761e7ca991594da561a98e6791a1e1c,https://eugene.diamondleague.com/athletes/14653717.html,,3:52.28,Jakob,INGEBRIGTSEN,19/09/2000,Norway
Women's Shot Put,https://eugene.diamondleague.com/program-results-eugene/?eventId=093d68c3-8a54-4c9d-958a-a403fdcdf3d2&eventStart=2019-06-30T12%3A57%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=a529dc7eb1ddc4eb97986373c5432f37,https://eugene.diamondleague.com/athletes/14279753.html,,20.77,Christina,SCHWANITZ,24/12/1985,Germany
Women's 3000m Steeplechase,https://eugene.diamondleague.com/program-results-eugene/?eventId=63fa7fea-e8c6-47b2-8083-8477ab65c9f6&eventStart=2019-06-30T13%3A11%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=a21bd3a93df24138df88c9ac84993e30,https://eugene.diamondleague.com/athletes/14479154.html,,8:59.62,Norah,JERUTO,02/10/1995,Kenya
Men's Shot Put,https://eugene.diamondleague.com/program-results-eugene/?eventId=8920797e-5521-44f0-9895-2b8e0665762a&eventStart=2019-06-30T14%3A01%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=5f745b6ea2fd80fc2df950449e29142d,https://eugene.diamondleague.com/athletes/14194393.html,,22.20,David,STORL,27/07/1990,Germany
Women's 3000m,https://eugene.diamondleague.com/program-results-eugene/?eventId=0eac18db-536e-47a8-b377-569ee0ac09b5&eventStart=2019-06-30T14%3A05%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=0a1bb0331dc5cdee36f255e5a909f754,https://eugene.diamondleague.com/athletes/14496249.html,,8:29.89,Konstanze,KLOSTERHALFEN,18/02/1997,Germany
1500m Women,https://eugene.diamondleague.com/program-results-eugene/?eventId=91d0b332-c710-407f-8d2d-43d807a6660f&eventStart=2019-06-30T14%3A31%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=61fe6ebf258bd52fd015338f6145ca6b,https://eugene.diamondleague.com/athletes/14272002.html,,4:00.86,Linden,HALL,20/06/1991,Australia
1 Mile Men,https://eugene.diamondleague.com/program-results-eugene/?eventId=b432fc9b-21ba-4da9-83fc-22e0d2759c35&eventStart=2019-06-30T14%3A51%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=d761e7ca991594da561a98e6791a1e1c,https://eugene.diamondleague.com/athletes/14471387.html,,,Brahim,KAAZOUZI,15/06/1990,Morocco
Women's Shot Put,https://eugene.diamondleague.com/program-results-eugene/?eventId=093d68c3-8a54-4c9d-958a-a403fdcdf3d2&eventStart=2019-06-30T12%3A57%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=a529dc7eb1ddc4eb97986373c5432f37,https://eugene.diamondleague.com/athletes/14468647.html,19.48,19.48,Danniel,THOMAS-DODD,11/11/1992,Jamaica
Women's 3000m Steeplechase,https://eugene.diamondleague.com/program-results-eugene/?eventId=63fa7fea-e8c6-47b2-8083-8477ab65c9f6&eventStart=2019-06-30T13%3A11%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=a21bd3a93df24138df88c9ac84993e30,https://eugene.diamondleague.com/athletes/14472841.html,,9:00.01,Hyvin,KIYENG,13/01/1992,Kenya
Men's Shot Put,https://eugene.diamondleague.com/program-results-eugene/?eventId=8920797e-5521-44f0-9895-2b8e0665762a&eventStart=2019-06-30T14%3A01%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=5f745b6ea2fd80fc2df950449e29142d,https://eugene.diamondleague.com/athletes/14413007.html,21.91,22.67,Tomas,WALSH,01/03/1992,New Zealand
Women's 3000m,https://eugene.diamondleague.com/program-results-eugene/?eventId=0eac18db-536e-47a8-b377-569ee0ac09b5&eventStart=2019-06-30T14%3A05%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=0a1bb0331dc5cdee36f255e5a909f754,https://eugene.diamondleague.com/athletes/14424921.html,8:25.60,8:20.68,Hellen,OBIRI,13/12/1989,Kenya
1500m Women,https://eugene.diamondleague.com/program-results-eugene/?eventId=91d0b332-c710-407f-8d2d-43d807a6660f&eventStart=2019-06-30T14%3A31%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=61fe6ebf258bd52fd015338f6145ca6b,https://eugene.diamondleague.com/athletes/14368938.html,,3:57.34,Shelby,HOULIHAN,08/02/1993,United States
1 Mile Men,https://eugene.diamondleague.com/program-results-eugene/?eventId=b432fc9b-21ba-4da9-83fc-22e0d2759c35&eventStart=2019-06-30T14%3A51%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=d761e7ca991594da561a98e6791a1e1c,https://eugene.diamondleague.com/athletes/14590785.html,,3:49.08,Elijah,Motonei,05/01/1993,Kenya
Women's 3000m Steeplechase,https://eugene.diamondleague.com/program-results-eugene/?eventId=63fa7fea-e8c6-47b2-8083-8477ab65c9f6&eventStart=2019-06-30T13%3A11%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=a21bd3a93df24138df88c9ac84993e30,https://eugene.diamondleague.com/athletes/14329341.html,,9:11.85,Gesa,Felicitas,03/08/1992,Germany
Women's 3000m,https://eugene.diamondleague.com/program-results-eugene/?eventId=0eac18db-536e-47a8-b377-569ee0ac09b5&eventStart=2019-06-30T14%3A05%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=0a1bb0331dc5cdee36f255e5a909f754,https://eugene.diamondleague.com/athletes/14590678.html,8:29.02,8:29.02,Lilian,Kasait,03/05/1997,Kenya
1500m Women,https://eugene.diamondleague.com/program-results-eugene/?eventId=91d0b332-c710-407f-8d2d-43d807a6660f&eventStart=2019-06-30T14%3A31%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=61fe6ebf258bd52fd015338f6145ca6b,https://eugene.diamondleague.com/athletes/14464506.html,4:09.90,4:08.75,Jessica,HULL,22/10/1996,Australia
1 Mile Men,https://eugene.diamondleague.com/program-results-eugene/?eventId=b432fc9b-21ba-4da9-83fc-22e0d2759c35&eventStart=2019-06-30T14%3A51%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=d761e7ca991594da561a98e6791a1e1c,https://eugene.diamondleague.com/athletes/14375782.html,,3:47.32,Ayanleh,SOULEIMAN,03/12/1992,Djibouti
Women's 3000m Steeplechase,https://eugene.diamondleague.com/program-results-eugene/?eventId=63fa7fea-e8c6-47b2-8083-8477ab65c9f6&eventStart=2019-06-30T13%3A11%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=a21bd3a93df24138df88c9ac84993e30,https://eugene.diamondleague.com/athletes/14437440.html,,9:10.27,Colleen,QUIGLEY,20/11/1992,United States
Women's 3000m,https://eugene.diamondleague.com/program-results-eugene/?eventId=0eac18db-536e-47a8-b377-569ee0ac09b5&eventStart=2019-06-30T14%3A05%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=0a1bb0331dc5cdee36f255e5a909f754,https://eugene.diamondleague.com/athletes/14320785.html,,8:56.75,Rachel,SCHNEIDER,18/07/1991,United States
1500m Women,https://eugene.diamondleague.com/program-results-eugene/?eventId=91d0b332-c710-407f-8d2d-43d807a6660f&eventStart=2019-06-30T14%3A31%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=61fe6ebf258bd52fd015338f6145ca6b,https://eugene.diamondleague.com/athletes/14479600.html,4:20.57,4:07.33,Danielle,JONES,21/08/1996,United States
1 Mile Men,https://eugene.diamondleague.com/program-results-eugene/?eventId=b432fc9b-21ba-4da9-83fc-22e0d2759c35&eventStart=2019-06-30T14%3A51%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=d761e7ca991594da561a98e6791a1e1c,https://eugene.diamondleague.com/athletes/14797484.html,,3:51.26,Samuel,TEFERA,23/10/1999,Ethiopia
Women's 3000m Steeplechase,https://eugene.diamondleague.com/program-results-eugene/?eventId=63fa7fea-e8c6-47b2-8083-8477ab65c9f6&eventStart=2019-06-30T13%3A11%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=a21bd3a93df24138df88c9ac84993e30,https://eugene.diamondleague.com/athletes/14288922.html,,9:28.81,Caroline,TUIGONG,12/03/1990,Kenya
Women's 3000m,https://eugene.diamondleague.com/program-results-eugene/?eventId=0eac18db-536e-47a8-b377-569ee0ac09b5&eventStart=2019-06-30T14%3A05%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=0a1bb0331dc5cdee36f255e5a909f754,https://eugene.diamondleague.com/athletes/14470567.html,,,Karissa,SCHWEIZER,04/05/1996,United States
1500m Women,https://eugene.diamondleague.com/program-results-eugene/?eventId=91d0b332-c710-407f-8d2d-43d807a6660f&eventStart=2019-06-30T14%3A31%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=61fe6ebf258bd52fd015338f6145ca6b,https://eugene.diamondleague.com/athletes/14413305.html,,3:56.41,Faith,KIPYEGON,10/01/1994,Kenya
1 Mile Men,https://eugene.diamondleague.com/program-results-eugene/?eventId=b432fc9b-21ba-4da9-83fc-22e0d2759c35&eventStart=2019-06-30T14%3A51%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=d761e7ca991594da561a98e6791a1e1c,https://eugene.diamondleague.com/athletes/14215936.html,,3:49.83,Nick,WILLIS,25/04/1983,New Zealand
Women's 3000m Steeplechase,https://eugene.diamondleague.com/program-results-eugene/?eventId=63fa7fea-e8c6-47b2-8083-8477ab65c9f6&eventStart=2019-06-30T13%3A11%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=a21bd3a93df24138df88c9ac84993e30,https://eugene.diamondleague.com/athletes/14534952.html,9:51.76,9:47.42,Shuangshuang,XU,06/04/1996,PR of China
Women's 3000m,https://eugene.diamondleague.com/program-results-eugene/?eventId=0eac18db-536e-47a8-b377-569ee0ac09b5&eventStart=2019-06-30T14%3A05%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=0a1bb0331dc5cdee36f255e5a909f754,https://eugene.diamondleague.com/athletes/287317.html,,8:41.33,Dominique,SCOTT,24/06/1992,South Africa
1500m Women,https://eugene.diamondleague.com/program-results-eugene/?eventId=91d0b332-c710-407f-8d2d-43d807a6660f&eventStart=2019-06-30T14%3A31%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=61fe6ebf258bd52fd015338f6145ca6b,https://eugene.diamondleague.com/athletes/14422111.html,4:05.37,3:55.22,Laura,MUIR,09/05/1993,Great Britain & NI
1 Mile Men,https://eugene.diamondleague.com/program-results-eugene/?eventId=b432fc9b-21ba-4da9-83fc-22e0d2759c35&eventStart=2019-06-30T14%3A51%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=d761e7ca991594da561a98e6791a1e1c,https://eugene.diamondleague.com/athletes/14429188.html,,3:48.60,Aman,WOTE,18/04/1984,Ethiopia
Women's 3000m Steeplechase,https://eugene.diamondleague.com/program-results-eugene/?eventId=63fa7fea-e8c6-47b2-8083-8477ab65c9f6&eventStart=2019-06-30T13%3A11%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=a21bd3a93df24138df88c9ac84993e30,https://eugene.diamondleague.com/athletes/14695622.html,9:46.18,9:10.74,Winfred,Mutile,31/12/1999,Bahrain
Women's 3000m,https://eugene.diamondleague.com/program-results-eugene/?eventId=0eac18db-536e-47a8-b377-569ee0ac09b5&eventStart=2019-06-30T14%3A05%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=0a1bb0331dc5cdee36f255e5a909f754,https://eugene.diamondleague.com/athletes/14330057.html,,9:36.29,Caster,SEMENYA,07/01/1991,South Africa
1500m Women,https://eugene.diamondleague.com/program-results-eugene/?eventId=91d0b332-c710-407f-8d2d-43d807a6660f&eventStart=2019-06-30T14%3A31%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=61fe6ebf258bd52fd015338f6145ca6b,https://eugene.diamondleague.com/athletes/14716074.html,4:03.79,4:01.78,Alemaz,SAMUEL,05/07/1999,Ethiopia
Women's 3000m,https://eugene.diamondleague.com/program-results-eugene/?eventId=0eac18db-536e-47a8-b377-569ee0ac09b5&eventStart=2019-06-30T14%3A05%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=0a1bb0331dc5cdee36f255e5a909f754,https://eugene.diamondleague.com/athletes/14477329.html,,8:32.49,Senbere,TEFERI,03/05/1995,Ethiopia
1500m Women,https://eugene.diamondleague.com/program-results-eugene/?eventId=91d0b332-c710-407f-8d2d-43d807a6660f&eventStart=2019-06-30T14%3A31%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=61fe6ebf258bd52fd015338f6145ca6b,https://eugene.diamondleague.com/athletes/14595214.html,3:59.57,3:57.64,Gudaf,TSEGAY,23/01/1997,Ethiopia
Women's 3000m,https://eugene.diamondleague.com/program-results-eugene/?eventId=0eac18db-536e-47a8-b377-569ee0ac09b5&eventStart=2019-06-30T14%3A05%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=0a1bb0331dc5cdee36f255e5a909f754,https://eugene.diamondleague.com/athletes/14276688.html,,9:02.62,Laura,WEIGHTMAN,01/07/1991,Great Britain & NI
Women's 3000m,https://eugene.diamondleague.com/program-results-eugene/?eventId=0eac18db-536e-47a8-b377-569ee0ac09b5&eventStart=2019-06-30T14%3A05%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=0a1bb0331dc5cdee36f255e5a909f754,https://eugene.diamondleague.com/athletes/14751322.html,,,Fantu,WORKU,29/03/1999,Ethiopia
